Article ID,Article Date,NYT section,Paragraph,Title,Fiction,Cyborg (positive),Decisions (positive),Education (positive),Entertain (positive),Healthcare (positive),Singularity (positive),Transportation (positive),Work (positive),Controling AI (negative),Cyborg (negative),Ethics (negative),Military (negative),Progress (negative),Singularity (negative),Work (negative),AI Mood,AI Relevance,Other (negative),Other (positive)
4fd100e58eb7c8105d5bbb33,2012-04-01 00:00:00 UTC,Arts; Style; Magazine,9. The robot designs woven into these tea towels ($20) are the closest thing the company has to a corporate logo. ''The robots are a modern way to create a recognizable house style without plastering my name everywhere.'',Stijl Council,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,2.3333333333333335,  ,  
4fd100e88eb7c8105d5bbd2d,,Science; Health,"In 1818, Mary Shelley's ''Frankenstein'' raised the specter of machines running amok. But in keeping with Isaac Asimov's Three Laws of Robotics, written as part of a short story in 1942, many literary robots are designed to avoid harming humans; consider the lovable odd couple R2-D2 and C-3PO in George Lucas's ''Star Wars'' movies. Still, given the rise of military drone aircraft that use artificial intelligence software in staging attacks, it seems unlikely that the next generation of humanoid robots will prove so benevolent.    JOHN MARKOFF",Statues to Golems to R2-D2,2,0,0,0,0,0,1,0,0,1,0,1,2,0,1,0,2.3333333333333335,5.0,  ,  
4fd14a668eb7c8105d627c40,,Business; Opinion,"Mr. Culbertson would use ''powerful new tools'' to model and manage entire economies with ''computers, cybernetics, systems theory, organization theory, computer-based expert systems, and artificial intelligence.''",ECONOMIC POLICY,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,4.333333333333333,  ,manage entire economies AI and computers could manage entire economies 
4fd14a678eb7c8105d627d24,1986-02-16 00:00:00 UTC,Business,"Some golfer. Fortunately, you'll never have to meet him in the finals of the club championship. He's a robot. This really isn't the 9th hole at Kittansett. This is inside a theater-like room in New Bedford, Mass., at a laboratory of the Acushnet Company, one of the dominant makers of golf balls. The robot - known as ''Iron Byron,'' since its swing mimicks the classic motion of the stellar professional, Byron Nelson - is firing balls at a net, behind which is a slide projection of Kittansett's 9th hole. Infrared cameras connected to a computer reveal precisely where - and how far -the balls went. The researchers have been studying the aerodynamics of a golf ball, in particular what happens when you change the little circular indentations known as dimples.",IN PURSUIT OF THE PERFECT GOLF BALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,  ,  
4fd14a678eb7c8105d627d35,1986-02-16 00:00:00 UTC,U.S.,All week long Navy divers and salvage experts using robot arms have been recovering pieces of a rocket that sat in the Challenger's payload bay and was hurled free when the space shuttle exploded 73 seconds after it was launched from the Kennedy Space Center here on Jan. 28.,LATEST PICTURES FROM NASA SHOW WODER FIRE ON BOOSTER,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,3.3333333333333335,  ,  
4fd14a688eb7c8105d627e17,1986-01-05 00:00:00 UTC,Business,"Robots are still used primarily in the auto industry, but electronics and drug companies are expected to increase their use of the machines during the next five years. By 1990, the association estimates, robot demand will reach 10,000 units annually and march steadily to 20,000 units a year by the century's end. Like computers, robots are getting smaller and cheaper. Last year, the average unit price dropped 20 percent from 1984, to $51,700.",PROSPECTS,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4.0,3.6666666666666665,  ,  
4fd14a688eb7c8105d627e36,,Business,"AN industry of the future - artificial intelligence - needs philosophers. ''Programmers for computers are a dime a dozen, but what is needed are people who can take vaguely formed problems and find ways to make them precise enough to be programmed,'' Dr. Glymour added. ''This is what philosophers can do and they are planning a major role in artificial intelligence.'' ''For the past 40 years,'' he continued, ''American philosophy has been closely tied to the logical and mathematical study of knowledge and inference. The theories produced in these areas have been precise enough to be used in the design of artificial intelligence programs.'' As a result, Carnegie-Mellon six months ago began a program for a major called ''Logic and Computation,'' which involves studying the technical and theoretical issues in artificial intelligence.'' He pointed out that many leaders in the field of artificial intelligence have backgrounds in philosophy, with emphasis on logical thought. One is Dr. Herbert Simon of the Carnege Mellon faculty, who is a Nobel Prize winner. ''He took lots of philosophy,'' Dr. Glymour said last week. The major also requires a few courses in mathematics, including calculus, statistics, philosophy, linguistics, and psychology. Specialties can be pursued in depth, such as in computer science, artificial intelligence and computational linguistics. Professional career opportunities open for such majors in the new program include research programming, artificial intelligence, program development, industrial applications of computational linguistics, and teaching in the field.",Careers; Philosophy Majors in Demand,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3.1904761904761902,3.8095238095238098,                    ,                    promising careers in AI
4fd14a6b8eb7c8105d628086,,Unknown,"Raymond Kurzweil, known throughout the field for his inventions using artificial intelligence, said he was always on the lookout for employees with backgrounds in three fields: psychoacoustics, the study of subjective response to sound; signal processing, the conversion of sound waves into digitized form, and phonemics, the study of phonetically similar but slightly different sounds in language. ''A lot of these areas were once considered obscure academic disciplines,'' he said. ''But now these people are very much in demand and, unfortunately, in short supply.''",TEACHING COMPUTERS TO HEAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6666666666666665,  ,  
4fd14a6c8eb7c8105d628127,,Business,"The move is the latest of several in which Ford and the General Motors Corporation have bought stakes in technology companies. In 1984, G.M. bought interests in five companies involved in machine vision and artificial intelligence computer systems and also formed the GMF Robotics Corporation with Fanuc Ltd. of Japan. Last year, Ford invested in the American Robot Corporation and in two artificial intelligence companies.",A FORD STAKE IN CERADYNE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.166666666666667,3.666666666666667,     ,     investment in AI
4fd14a6e8eb7c8105d628179,1986-02-15 00:00:00 UTC,Health; New York and Region,"''It's hard to believe anybody here could do something like this,'' said Mayor Murphy. ''But it wasn't a robot putting cyanide in these bottles.''",A TRANQUIL VILLAGE IS SHAKEN BY AN INTRUSION OF MADNESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,2.0,  ,  
