Word,Frequency
Pratt,69
spoke,54
positively,15
former,300
employer,24
seemed,114
ready,126
battle,81
The,9308
Swedish,21
actress,42
commenting,3
safetyorange,3
Victoria,15
Beckham,6
trousers,3
adorning,12
whisperthin,3
physique,6
But,2250
unintentional,6
reference,69
ravishing,15
physicality,9
gain,60
bone,21
structure,93
sullen,3
pout,3
velvety,3
fawn,3
eyes,222
would,2346
lost,129
moviegoers,6
thrall,6
one,2750
latest,279
creations,54
Ava,84
exquisite,21
embodiment,9
artificial,8695
intelligence,9066
Ex,66
machine,1204
Gaby,15
Teller,24
Courrgesmod,3
spy,33
Man,81
From,243
UNCLE,3
due,51
later,351
summer,171
Vera,9
britain,123
protofeminist,3
British,183
pacifist,3
Testament,3
Youth,6
opening,111
Friday,138
And,1208
need,456
offer,201
mix,42
commercial,182
free,312
information,570
software,1422
We,603
find,576
way,1075
welcomed,3
highest,24
levels,63
Internet,412
community,111
browser,18
kale,6
Born,21
Oct,84
22,141
1960,15
New,1092
York,666
Education,15
electrical,117
engineering,318
computer,3002
science,1165
major,228
Massachusetts,228
Institute,408
Technology,360
Noncomputer,3
reading,182
Autobiography,6
Benjamin,24
Franklin,15
printer,24
Car,12
Green,57
1963,15
Volvo,3
P1800,3
Ideal,9
vacation,30
Visiting,6
developing,255
countries,60
Recently,27
traveled,30
Indonesia,6
wife,111
Mary,123
Austin,30
Family,24
Expecting,3
baby,93
September,63
Hobby,3
Printing,21
owns,27
80yearold,3
letterpress,3
Personal,12
Computer,141
Macintosh,33
powerboat,6
Duo,3
210,51
growing,170
power,432
simplicity,9
technology,1967
makes,435
thing,354
possible,360
Not,174
outdone,6
Google,891
Wednesday,213
said,3899
introducing,21
AI,2223
tool,102
helps,99
schedule,63
fun,105
time,1176
around,813
work,1470
Calendar,6
application,117
Annemarie,9
robot,9761
fashion,102
models,129
cost,216
designing,96
today,519
typically,93
runs,99
hundreds,60
thousands,126
dollars,75
millions,177
Pollack,6
For,633
scientists,597
spent,192
decades,231
refining,6
computerised,36
search,489
techniques,273
bad,201
news,267
Introducing,3
human,2539
touch,147
engines,66
also,1806
means,225
biases,6
What,1000
want,585
form,336
I,3650
strong,129
feeling,63
things,669
cant,267
golden,15
Both,48
exercise,54
equipment,189
designers,114
health,234
club,54
owners,87
become,477
adept,24
manufacturers,36
Some,354
newest,30
gyms,9
could,2038
pass,105
video,522
arcades,3
lowercase,12
instance,153
line,315
developed,435
Rick,42
Dyer,9
created,459
Dragons,6
Lair,9
first,1470
animated,141
game,759
critical,57
difference,108
Nautilus,6
Universal,48
machines,942
system,945
200,222
across,300
country,120
works,348
like,3447
personal,401
fitness,6
trainer,18
Each,108
assesses,3
exercises,9
level,203
ideal,35
workout,12
It,1833
gods,12
weakwilled,3
success,123
chirps,6
words,267
encouragement,9
flashes,6
smile,30
screen,234
Mechanical,21
Turks,3
customers,84
corporations,42
By,198
contrast,60
ChaChacom,3
startup,282
Carmel,3
Ind,3
uses,426
sometimes,162
called,1206
crowdsourcing,12
help,567
individual,102
users,267
better,513
results,207
Web,407
coach,63
began,297
last,1113
year,1101
pays,30
30000,33
fleshandblood,15
guides,30
working,474
home,492
local,132
coffee,33
shop,30
much,989
10,483
hour,141
direct,87
surfers,9
relevant,27
resources,50
DiNA,12
arrived,81
scene,147
2004,84
part,675
group,666
show,603
Paris,66
visitors,81
communicate,78
keyboard,51
Now,246
evolved,51
speech,255
recognition,339
predecessor,15
Ruby,6
older,87
Seattle,66
retrospective,9
originated,18
character,213
Teknolust,6
phrase,51
uncanny,21
valley,27
coined,60
1970,39
Japanese,282
robotics,698
Masahiro,12
Mori,9
Its,801
phenomenon,39
bedeviling,3
technologies,558
days,300
learning,599
startups,132
sprout,9
giant,225
tech,138
companies,785
including,675
Facebook,276
dive,15
headlong,12
play,693
worst,24
fears,33
heres,51
list,192
creepy,24
moments,33
even,1113
spawned,15
futuristic,117
SMITHAlan,3
mirror,42
Yeshiva,15
Central,57
mourns,3
passing,66
Alan,165
Smith,96
Our,141
heartfelt,6
sorrow,6
condolences,3
father,152
Stanley,105
stepmother,3
Lenore,3
mother,135
Miriam,12
hilly,3
sons,21
Brian,78
Tyler,12
brothers,24
Steven,132
Raymond,57
sister,36
Rhonda,3
continued,69
legacy,21
distinguished,9
builders,33
America,180
devoted,81
friends,156
supporters,15
half,195
century,156
May,129
mighty,3
shield,18
family,225
requests,21
contributions,33
gifted,21
Memorial,27
Fund,153
1791,3
Ocean,12
Parkway,6
Brooklyn,75
NY,75
11223,3
schools,80
emphasis,36
came,297
partly,57
large,411
gift,45
Lewis,30
Rosenstiel,3
founder,204
Schenleys,3
liquor,3
business,498
support,156
biomedical,21
research,1403
school,353
receives,30
28,135
million,1239
Federal,54
state,204
private,261
grants,12
planning,117
415,6
building,414
financed,57
Department,156
Energy,6
Still,126
suffering,33
continues,51
make,1344
progress,312
adapted,42
still,522
well,738
lion,33
Corporation,204
small,501
privately,24
held,156
company,1824
Palo,48
Alto,51
saw,141
sales,138
triple,6
though,264
tiny,81
base,87
sells,45
tools,273
include,291
data,990
processing,240
employees,90
develop,249
programs,525
IBM,597
mainframes,9
walther,9
Mass,99
successfully,36
sold,165
allow,267
corporate,135
use,1124
English,177
commands,96
retrieve,54
bases,36
Use,18
General,69
Software,66
Crosshatched,3
comparison,12
set,639
transformations,3
turtle,27
traces,30
attitudes,9
known,471
boundary,12
questions,399
criteria,27
deploy,33
distinguish,51
interact,146
alleged,9
division,123
lay,33
definition,65
indisputable,3
superiority,6
subtly,21
eroded,3
developments,87
logicoriented,6
expert,312
systems,876
chessplaying,24
variety,108
connections,54
kind,473
modeled,36
brains,129
neural,234
net,39
sought,60
differentiation,6
confident,12
claim,114
psyches,3
lie,36
beyond,234
reach,143
calculation,15
destabilized,3
plausibly,6
simulate,75
sympathetic,12
psychotherapist,9
reluctant,36
emotional,138
profiles,9
depend,23
chemical,60
processes,108
pill,9
contain,36
Photos,57
FLAME,3
FIGHTER,3
A,2231
named,357
minion,9
among,432
competed,12
recently,393
Trinity,9
College,63
Hartford,15
see,654
extinguish,9
flame,21
fastest,27
George,183
rule,45
Times,642
book,603
influence,24
far,564
particulars,6
wrote,339
Heritage,6
deal,294
rules,231
language,336
fundamental,75
elements,84
sociological,12
study,339
reached,48
many,1068
fields,240
cognitive,234
philosophy,114
You,426
wouldnt,84
get,702
argument,72
important,300
books,174
sociology,15
Apple,357
Improving,3
watch,96
require,150
lots,96
advances,324
period,57
years,1583
smaller,102
faster,159
processors,45
radios,6
batteries,45
voice,321
Can,75
provide,117
Probably,9
n't,852
smartwatch,3
maker,261
likely,303
wont,135
happen,108
might,1139
next,591
Youll,33
wait,75
Evaluation,15
AssessmentStudents,15
evaluated,18
written,246
journal,63
responses,90
participation,30
class,440
discussion,104
groups,207
brainstorming,15
creation,120
blueprints,27
devices,324
There,549
something,621
breathtaking,12
process,255
heart,165
modern,147
capitalism,9
promise,87
blockbuster,12
keep,213
driving,102
yet,363
another,656
gadget,36
hit,165
jackpot,3
iPod,33
Nintendo,12
win,132
Regardless,6
format,15
highdefinition,6
replaced,30
pretty,153
soon,237
movies,216
streaming,30
That,492
personality,72
Taser,3
song,81
never,474
house,171
All,204
grand,78
believe,258
boosters,15
Vegas,33
week,354
us,876
shuttling,9
selfdriving,96
cars,342
regularly,36
plugging,15
realitydefying,9
virtual,246
worlds,255
smart,335
jewelry,51
seamlessly,24
integrate,24
bodies,123
homes,36
connected,99
drones,84
autonomous,243
phones,60
sizzle,9
In,2346
brief,51
explain,96
step,189
head,378
higher,105
intellectual,45
ground,168
conceptual,24
pattern,117
jobs,300
senior,102
management,105
consulting,42
Step,33
aside,60
different,480
kinds,138
creativity,57
empathy,39
elder,21
care,246
givers,6
monitor,156
guide,108
handle,99
tasks,329
automated,228
ad,213
buying,51
approving,15
loans,6
narrowly,9
focus,156
niche,57
unlikely,42
economically,9
brokering,6
deals,33
eastwood,12
franchises,9
example,477
forward,141
build,372
generation,222
computing,537
Summoned,3
cards,24
drawn,57
zathras,3
players,237
Zorgons,6
wreck,54
already,378
riddled,3
meteors,6
shower,18
summoned,15
round,138
During,57
pummeling,3
boys,72
cringe,3
fireplace,3
No,294
sooner,9
Lisa,39
wake,33
turns,213
bathroom,12
freezer,3
becomes,180
rigid,6
frostcovered,3
ice,75
sculpture,33
One,405
notes,54
sour,12
ironic,9
correspondence,12
asking,84
test,327
order,159
qualify,30
intelligent,296
turing,51
hide,24
homosexuality,9
straight,42
man,411
demands,36
bluffs,6
unnecessary,9
profoundly,15
unfair,9
greenest,12
Jan,72
1,863
Dante,93
stepped,27
inferno,3
started,246
Antarctic,15
volcano,36
mission,237
